Year ,Crop ,Month ,City,State,Price
2023.0,Paddy ,January ,Nellore ,Andhra Pradesh ,2813.0
2023.0,Paddy ,February,Nellore ,Andhra Pradesh ,2930.0
2023.0,Paddy ,March ,Nellore ,Andhra Pradesh ,2840.0
2023.0,Paddy ,April ,Nellore ,Andhra Pradesh ,2650.0
2023.0,Paddy ,May,Nellore ,Andhra Pradesh ,2525.0
2023.0,Paddy ,June,Nellore ,Andhra Pradesh ,2740.0
2023.0,Paddy ,July ,Nellore ,Andhra Pradesh ,3050.0
2023.0,Paddy ,August ,Nellore ,Andhra Pradesh ,3176.0
2023.0,Paddy ,September ,Nellore ,Andhra Pradesh ,3160.0
2023.0,Paddy ,October ,Nellore ,Andhra Pradesh ,3130.0
2023.0,Paddy ,November ,Nellore ,Andhra Pradesh ,3110.0
2023.0,Paddy ,December ,Nellore ,Andhra Pradesh ,3280.0
2023.0,Paddy ,January,Parvatipuram,Andhra Pradesh ,1941.0
2023.0,Paddy ,February,Parvatipuram,Andhra Pradesh ,2015.0
2023.0,Paddy ,March,Parvatipuram,Andhra Pradesh ,2040.0
2023.0,Paddy ,April,Parvatipuram,Andhra Pradesh ,2040.0
2023.0,Paddy ,May,Parvatipuram,Andhra Pradesh ,1995.0
2023.0,Paddy ,June,Parvatipuram,Andhra Pradesh ,1942.0
2023.0,Paddy ,July,Parvatipuram,Andhra Pradesh ,1946.0
2023.0,Paddy ,August,Parvatipuram,Andhra Pradesh ,1963.0
2023.0,Paddy ,September,Parvatipuram,Andhra Pradesh ,2035.0
2023.0,Paddy ,October,Parvatipuram,Andhra Pradesh ,2083.0
2023.0,Paddy ,November,Parvatipuram,Andhra Pradesh ,2100.0
2023.0,Paddy ,December,Parvatipuram,Andhra Pradesh ,2160.0
2023.0,Paddy ,January,Sasaram ,Bihar,1810.0
2023.0,Paddy ,February,Sasaram ,Bihar,1820.0
2023.0,Paddy ,March,Sasaram ,Bihar,1828.0
2023.0,Paddy ,April,Sasaram ,Bihar,1850.0
2023.0,Paddy ,May,Sasaram ,Bihar,1880.0
2023.0,Paddy ,June,Sasaram ,Bihar,1918.0
2023.0,Paddy ,July,Sasaram ,Bihar,1945.0
2023.0,Paddy ,August,Sasaram ,Bihar,1973.0
2023.0,Paddy ,September,Sasaram ,Bihar,2012.0
2023.0,Paddy ,October,Sasaram ,Bihar,2038.0
2023.0,Paddy ,November,Sasaram ,Bihar,2018.0
2023.0,Paddy ,December,Sasaram ,Bihar,1948.0
2023.0,Paddy ,January,Gulabbagh,Bihar,1753.0
2023.0,Paddy ,February,Gulabbagh,Bihar,1733.0
2023.0,Paddy ,March,Gulabbagh,Bihar,1748.0
2023.0,Paddy ,April,Gulabbagh,Bihar,1760.0
2023.0,Paddy ,May,Gulabbagh,Bihar,1773.0
2023.0,Paddy ,June,Gulabbagh,Bihar,1762.0
2023.0,Paddy ,July,Gulabbagh,Bihar,1785.0
2023.0,Paddy ,August,Gulabbagh,Bihar,1823.0
2023.0,Paddy ,September,Gulabbagh,Bihar,1858.0
2023.0,Paddy ,October,Gulabbagh,Bihar,1878.0
2023.0,Paddy ,November,Gulabbagh,Bihar,1875.0
2023.0,Paddy ,December,Gulabbagh,Bihar,1838.0
2023.0,Paddy ,January,Bavla,Gujarat ,1901.0
2023.0,Paddy ,February,Bavla,Gujarat ,1929.0
2023.0,Paddy ,March,Bavla,Gujarat ,1875.0
2023.0,Paddy ,April,Bavla,Gujarat ,1933.0
2023.0,Paddy ,May,Bavla,Gujarat ,1857.0
2023.0,Paddy ,June,Bavla,Gujarat ,2042.0
2023.0,Paddy ,July,Bavla,Gujarat ,2118.0
2023.0,Paddy ,August,Bavla,Gujarat ,2319.0
2023.0,Paddy ,September,Bavla,Gujarat ,2056.0
2023.0,Paddy ,October,Bavla,Gujarat ,1895.0
2023.0,Paddy ,November,Bavla,Gujarat ,1934.0
2023.0,Paddy ,December,Bavla,Gujarat ,2115.0
2023.0,Paddy ,January,Ambala ,Haryana ,4653.0
2023.0,Paddy ,February,Ambala ,Haryana ,4850.0
2023.0,Paddy ,March,Ambala ,Haryana ,4924.0
2023.0,Paddy ,April,Ambala ,Haryana ,4544.0
2023.0,Paddy ,May,Ambala ,Haryana ,4508.0
2023.0,Paddy ,June,Ambala ,Haryana ,4430.0
2023.0,Paddy ,July,Ambala ,Haryana ,3713.0
2023.0,Paddy ,August,Ambala ,Haryana ,3702.0
2023.0,Paddy ,September,Ambala ,Haryana ,3858.0
2023.0,Paddy ,October,Ambala ,Haryana ,3953.0
2023.0,Paddy ,November,Ambala ,Haryana ,4500.0
2023.0,Paddy ,December,Ambala ,Haryana ,4936.0
2022.0,Paddy ,January,Nellore ,Andhra Pradesh ,1980.0
2022.0,Paddy ,February,Nellore ,Andhra Pradesh ,1980.0
2022.0,Paddy ,March,Nellore ,Andhra Pradesh ,1980.0
2022.0,Paddy ,April,Nellore ,Andhra Pradesh ,1976.0
2022.0,Paddy ,May,Nellore ,Andhra Pradesh ,1960.0
2022.0,Paddy ,June,Nellore ,Andhra Pradesh ,2120.0
2022.0,Paddy ,July,Nellore ,Andhra Pradesh ,2476.0
2022.0,Paddy ,August,Nellore ,Andhra Pradesh ,2600.0
2022.0,Paddy ,September,Nellore ,Andhra Pradesh ,2730.0
2022.0,Paddy ,October,Nellore ,Andhra Pradesh ,2850.0
2022.0,Paddy ,November,Nellore ,Andhra Pradesh ,2830.0
2022.0,Paddy ,December,Nellore ,Andhra Pradesh ,2860.0
2022.0,Paddy ,January,Parvatipuram,Andhra Pradesh ,1873.0
2022.0,Paddy ,February,Parvatipuram,Andhra Pradesh ,1888.0
2022.0,Paddy ,March,Parvatipuram,Andhra Pradesh ,1888.0
2022.0,Paddy ,April,Parvatipuram,Andhra Pradesh ,1940.0
2022.0,Paddy ,May,Parvatipuram,Andhra Pradesh ,1940.0
2022.0,Paddy ,June,Parvatipuram,Andhra Pradesh ,1940.0
2022.0,Paddy ,July,Parvatipuram,Andhra Pradesh ,1940.0
2022.0,Paddy ,August,Parvatipuram,Andhra Pradesh ,1940.0
2022.0,Paddy ,September,Parvatipuram,Andhra Pradesh ,1940.0
2022.0,Paddy ,October,Parvatipuram,Andhra Pradesh ,1940.0
2022.0,Paddy ,November,Parvatipuram,Andhra Pradesh ,1940.0
2022.0,Paddy ,December,Parvatipuram,Andhra Pradesh ,1940.0
2022.0,Paddy ,January,Sasaram ,Bihar,1830.0
2022.0,Paddy ,February,Sasaram ,Bihar,1855.0
2022.0,Paddy ,March,Sasaram ,Bihar,1848.0
2022.0,Paddy ,April,Sasaram ,Bihar,1826.0
2022.0,Paddy ,May,Sasaram ,Bihar,1850.0
2022.0,Paddy ,June,Sasaram ,Bihar,1850.0
2022.0,Paddy ,July,Sasaram ,Bihar,1870.0
2022.0,Paddy ,August,Sasaram ,Bihar,1870.0
2022.0,Paddy ,September,Sasaram ,Bihar,1836.0
2022.0,Paddy ,October,Sasaram ,Bihar,1795.0
2022.0,Paddy ,November,Sasaram ,Bihar,1758.0
2022.0,Paddy ,December,Sasaram ,Bihar,1776.0
2022.0,Paddy ,January,Gulabbagh,Bihar,1808.0
2022.0,Paddy ,February,Gulabbagh,Bihar,1815.0
2022.0,Paddy ,March,Gulabbagh,Bihar,1795.0
2022.0,Paddy ,April,Gulabbagh,Bihar,1784.0
2022.0,Paddy ,May,Gulabbagh,Bihar,1800.0
2022.0,Paddy ,June,Gulabbagh,Bihar,1840.0
2022.0,Paddy ,July,Gulabbagh,Bihar,1824.0
2022.0,Paddy ,August,Gulabbagh,Bihar,1800.0
2022.0,Paddy ,September,Gulabbagh,Bihar,1776.0
2022.0,Paddy ,October,Gulabbagh,Bihar,1730.0
2022.0,Paddy ,November,Gulabbagh,Bihar,1705.0
2022.0,Paddy ,December,Gulabbagh,Bihar,1746.0
2022.0,Paddy ,January,Bavla,Gujarat ,1813.0
2022.0,Paddy ,February,Bavla,Gujarat ,1775.0
2022.0,Paddy ,March,Bavla,Gujarat ,1845.0
2022.0,Paddy ,April,Bavla,Gujarat ,1809.0
2022.0,Paddy ,May,Bavla,Gujarat ,1760.0
2022.0,Paddy ,June,Bavla,Gujarat ,1743.0
2022.0,Paddy ,July,Bavla,Gujarat ,1799.0
2022.0,Paddy ,August,Bavla,Gujarat ,1700.0
2022.0,Paddy ,September,Bavla,Gujarat ,1795.0
2022.0,Paddy ,October,Bavla,Gujarat ,1888.0
2022.0,Paddy ,November,Bavla,Gujarat ,1868.0
2022.0,Paddy ,December,Bavla,Gujarat ,1822.0
2022.0,Paddy ,January,Ambala ,Haryana ,4110.0
2022.0,Paddy ,February,Ambala ,Haryana ,3873.0
2022.0,Paddy ,March,Ambala ,Haryana ,3983.0
2022.0,Paddy ,April,Ambala ,Haryana ,4260.0
2022.0,Paddy ,May,Ambala ,Haryana ,4310.0
2022.0,Paddy ,June,Ambala ,Haryana ,4500.0
2022.0,Paddy ,July,Ambala ,Haryana ,4660.0
2022.0,Paddy ,August,Ambala ,Haryana ,4648.0
2022.0,Paddy ,September,Ambala ,Haryana ,4240.0
2022.0,Paddy ,October,Ambala ,Haryana ,3388.0
2022.0,Paddy ,November,Ambala ,Haryana ,3469.0
2022.0,Paddy ,December,Ambala ,Haryana ,3986.0
2023.0,Paddy ,January ,Tattamangalam,Kerala ,2400.0
2023.0,Paddy ,February,Tattamangalam,Kerala ,2400.0
2023.0,Paddy ,March ,Tattamangalam,Kerala ,2400.0
2023.0,Paddy ,April ,Tattamangalam,Kerala ,2375.0
2023.0,Paddy ,May,Tattamangalam,Kerala ,2300.0
2023.0,Paddy ,June,Tattamangalam,Kerala ,2300.0
2023.0,Paddy ,July ,Tattamangalam,Kerala ,2350.0
2023.0,Paddy ,August ,Tattamangalam,Kerala ,2400.0
2023.0,Paddy ,September ,Tattamangalam,Kerala ,2480.0
2023.0,Paddy ,October ,Tattamangalam,Kerala ,2500.0
2023.0,Paddy ,November ,Tattamangalam,Kerala ,2400.0
2023.0,Paddy ,December ,Tattamangalam,Kerala ,2320.0
2023.0,Paddy ,January,Palakkad ,Kerala ,2500.0
2023.0,Paddy ,February,Palakkad ,Kerala ,2500.0
2023.0,Paddy ,March,Palakkad ,Kerala ,2500.0
2023.0,Paddy ,April,Palakkad ,Kerala ,2500.0
2023.0,Paddy ,May,Palakkad ,Kerala ,2500.0
2023.0,Paddy ,June,Palakkad ,Kerala ,2540.0
2023.0,Paddy ,July,Palakkad ,Kerala ,2600.0
2023.0,Paddy ,August,Palakkad ,Kerala ,2600.0
2023.0,Paddy ,September,Palakkad ,Kerala ,2600.0
2023.0,Paddy ,October,Palakkad ,Kerala ,2575.0
2023.0,Paddy ,November,Palakkad ,Kerala ,2650.0
2023.0,Paddy ,December,Palakkad ,Kerala ,2600.0
2023.0,Paddy ,January,Pullinkunnu,Kerala ,2800.0
2023.0,Paddy ,February,Pullinkunnu,Kerala ,2800.0
2023.0,Paddy ,March,Pullinkunnu,Kerala ,2800.0
2023.0,Paddy ,April,Pullinkunnu,Kerala ,2800.0
2023.0,Paddy ,May,Pullinkunnu,Kerala ,2800.0
2023.0,Paddy ,June,Pullinkunnu,Kerala ,2800.0
2023.0,Paddy ,July,Pullinkunnu,Kerala ,2820.0
2023.0,Paddy ,August,Pullinkunnu,Kerala ,2820.0
2023.0,Paddy ,September,Pullinkunnu,Kerala ,2820.0
2023.0,Paddy ,October,Pullinkunnu,Kerala ,2820.0
2023.0,Paddy ,November,Pullinkunnu,Kerala ,2820.0
2023.0,Paddy ,December,Pullinkunnu,Kerala ,2820.0
2023.0,Paddy ,January,Mysore,Karnataka ,1864.0
2023.0,Paddy ,February,Mysore,Karnataka ,2106.0
2023.0,Paddy ,March,Mysore,Karnataka ,2075.0
2023.0,Paddy ,April,Mysore,Karnataka ,2025.0
2023.0,Paddy ,May,Mysore,Karnataka ,2100.0
2023.0,Paddy ,June,Mysore,Karnataka ,2150.0
2023.0,Paddy ,July,Mysore,Karnataka ,2165.0
2023.0,Paddy ,August,Mysore,Karnataka ,2445.0
2023.0,Paddy ,September,Mysore,Karnataka ,2510.0
2023.0,Paddy ,October,Mysore,Karnataka ,2488.0
2023.0,Paddy ,November,Mysore,Karnataka ,2220.0
2023.0,Paddy ,December,Mysore,Karnataka ,2388.0
2023.0,Paddy ,January,Gondia,Maharashtra ,2250.0
2023.0,Paddy ,February,Gondia,Maharashtra ,2225.0
2023.0,Paddy ,March,Gondia,Maharashtra ,2125.0
2023.0,Paddy ,April,Gondia,Maharashtra ,2200.0
2023.0,Paddy ,May,Gondia,Maharashtra ,2050.0
2023.0,Paddy ,June,Gondia,Maharashtra ,1833.0
2023.0,Paddy ,July,Gondia,Maharashtra ,1833.0
2023.0,Paddy ,August,Gondia,Maharashtra ,2100.0
2023.0,Paddy ,September,Gondia,Maharashtra ,2100.0
2023.0,Paddy ,October,Gondia,Maharashtra ,2100.0
2023.0,Paddy ,November,Gondia,Maharashtra ,2100.0
2023.0,Paddy ,December,Gondia,Maharashtra ,2100.0
2023.0,Paddy ,January,Kolhapur ,Maharashtra ,2375.0
2023.0,Paddy ,February,Kolhapur ,Maharashtra ,2438.0
2023.0,Paddy ,March,Kolhapur ,Maharashtra ,2420.0
2023.0,Paddy ,April,Kolhapur ,Maharashtra ,2388.0
2023.0,Paddy ,May,Kolhapur ,Maharashtra ,2388.0
2023.0,Paddy ,June,Kolhapur ,Maharashtra ,2450.0
2023.0,Paddy ,July,Kolhapur ,Maharashtra ,2438.0
2023.0,Paddy ,August,Kolhapur ,Maharashtra ,2450.0
2023.0,Paddy ,September,Kolhapur ,Maharashtra ,2360.0
2023.0,Paddy ,October,Kolhapur ,Maharashtra ,2150.0
2023.0,Paddy ,November,Kolhapur ,Maharashtra ,2050.0
2023.0,Paddy ,December,Kolhapur ,Maharashtra ,1863.0
2022.0,Paddy ,January,Tattamangalam,Kerala ,1900.0
2022.0,Paddy ,February,Tattamangalam,Kerala ,1950.0
2022.0,Paddy ,March,Tattamangalam,Kerala ,2000.0
2022.0,Paddy ,April,Tattamangalam,Kerala ,2080.0
2022.0,Paddy ,May,Tattamangalam,Kerala ,2100.0
2022.0,Paddy ,June,Tattamangalam,Kerala ,2100.0
2022.0,Paddy ,July,Tattamangalam,Kerala ,2100.0
2022.0,Paddy ,August,Tattamangalam,Kerala ,2125.0
2022.0,Paddy ,September,Tattamangalam,Kerala ,2200.0
2022.0,Paddy ,October,Tattamangalam,Kerala ,2275.0
2022.0,Paddy ,November,Tattamangalam,Kerala ,2300.0
2022.0,Paddy ,December,Tattamangalam,Kerala ,2360.0
2022.0,Paddy ,January,Palakkad ,Kerala ,2100.0
2022.0,Paddy ,February,Palakkad ,Kerala ,2075.0
2022.0,Paddy ,March,Palakkad ,Kerala ,2000.0
2022.0,Paddy ,April,Palakkad ,Kerala ,2040.0
2022.0,Paddy ,May,Palakkad ,Kerala ,2100.0
2022.0,Paddy ,June,Palakkad ,Kerala ,2100.0
2022.0,Paddy ,July,Palakkad ,Kerala ,2100.0
2022.0,Paddy ,August,Palakkad ,Kerala ,2100.0
2022.0,Paddy ,September,Palakkad ,Kerala ,2260.0
2022.0,Paddy ,October,Palakkad ,Kerala ,2500.0
2022.0,Paddy ,November,Palakkad ,Kerala ,2500.0
2022.0,Paddy ,December,Palakkad ,Kerala ,2500.0
2022.0,Paddy ,January,Pullinkunnu,Kerala ,2800.0
2022.0,Paddy ,February,Pullinkunnu,Kerala ,2800.0
2022.0,Paddy ,March,Pullinkunnu,Kerala ,2800.0
2022.0,Paddy ,April,Pullinkunnu,Kerala ,2800.0
2022.0,Paddy ,May,Pullinkunnu,Kerala ,2800.0
2022.0,Paddy ,June,Pullinkunnu,Kerala ,2800.0
2022.0,Paddy ,July,Pullinkunnu,Kerala ,2800.0
2022.0,Paddy ,August,Pullinkunnu,Kerala ,2800.0
2022.0,Paddy ,September,Pullinkunnu,Kerala ,2800.0
2022.0,Paddy ,October,Pullinkunnu,Kerala ,2800.0
2022.0,Paddy ,November,Pullinkunnu,Kerala ,2800.0
2022.0,Paddy ,December,Pullinkunnu,Kerala ,2800.0
2022.0,Paddy ,January,Mysore,Karnataka ,1630.0
2022.0,Paddy ,February,Mysore,Karnataka ,1570.0
2022.0,Paddy ,March,Mysore,Karnataka ,1761.0
2022.0,Paddy ,April,Mysore,Karnataka ,1848.0
2022.0,Paddy ,May,Mysore,Karnataka ,1791.0
2022.0,Paddy ,June,Mysore,Karnataka ,1719.0
2022.0,Paddy ,July,Mysore,Karnataka ,1544.0
2022.0,Paddy ,August,Mysore,Karnataka ,1720.0
2022.0,Paddy ,September,Mysore,Karnataka ,1701.0
2022.0,Paddy ,October,Mysore,Karnataka ,1650.0
2022.0,Paddy ,November,Mysore,Karnataka ,2133.0
2022.0,Paddy ,December,Mysore,Karnataka ,1991.0
2022.0,Paddy ,January,Gondia,Maharashtra ,1625.0
2022.0,Paddy ,February,Gondia,Maharashtra ,1613.0
2022.0,Paddy ,March,Gondia,Maharashtra ,1700.0
2022.0,Paddy ,April,Gondia,Maharashtra ,1970.0
2022.0,Paddy ,May,Gondia,Maharashtra ,2175.0
2022.0,Paddy ,June,Gondia,Maharashtra ,1638.0
2022.0,Paddy ,July,Gondia,Maharashtra ,1540.0
2022.0,Paddy ,August,Gondia,Maharashtra ,1625.0
2022.0,Paddy ,September,Gondia,Maharashtra ,1750.0
2022.0,Paddy ,October,Gondia,Maharashtra ,1775.0
2022.0,Paddy ,November,Gondia,Maharashtra ,1750.0
2022.0,Paddy ,December,Gondia,Maharashtra ,2110.0
2022.0,Paddy ,January,Kolhapur ,Maharashtra ,2075.0
2022.0,Paddy ,February,Kolhapur ,Maharashtra ,2125.0
2022.0,Paddy ,March,Kolhapur ,Maharashtra ,2175.0
2022.0,Paddy ,April,Kolhapur ,Maharashtra ,2120.0
2022.0,Paddy ,May,Kolhapur ,Maharashtra ,2263.0
2022.0,Paddy ,June,Kolhapur ,Maharashtra ,2163.0
2022.0,Paddy ,July,Kolhapur ,Maharashtra ,2100.0
2022.0,Paddy ,August,Kolhapur ,Maharashtra ,2113.0
2022.0,Paddy ,September,Kolhapur ,Maharashtra ,2140.0
2022.0,Paddy ,October,Kolhapur ,Maharashtra ,2125.0
2022.0,Paddy ,November,Kolhapur ,Maharashtra ,2275.0
2022.0,Paddy ,December,Kolhapur ,Maharashtra ,2330.0
2023.0,Paddy ,January,Amritsar ,Punjab ,4188.0
2023.0,Paddy ,February,Amritsar ,Punjab ,4269.0
2023.0,Paddy ,March,Amritsar ,Punjab ,4040.0
2023.0,Paddy ,April,Amritsar ,Punjab ,4150.0
2023.0,Paddy ,May,Amritsar ,Punjab ,3805.0
2023.0,Paddy ,June,Amritsar ,Punjab ,3805.0
2023.0,Paddy ,July,Amritsar ,Punjab ,3805.0
2023.0,Paddy ,August,Amritsar ,Punjab ,3805.0
2023.0,Paddy ,September,Amritsar ,Punjab ,3460.0
2023.0,Paddy ,October,Amritsar ,Punjab ,3363.0
2023.0,Paddy ,November,Amritsar ,Punjab ,3788.0
2023.0,Paddy ,December,Amritsar ,Punjab ,4388.0
2023.0,Paddy ,January,Kanchipuram ,Tamilnadu ,1895.0
2023.0,Paddy ,February,Kanchipuram ,Tamilnadu ,1905.0
2023.0,Paddy ,March,Kanchipuram ,Tamilnadu ,1848.0
2023.0,Paddy ,April,Kanchipuram ,Tamilnadu ,1740.0
2023.0,Paddy ,May,Kanchipuram ,Tamilnadu ,1740.0
2023.0,Paddy ,June,Kanchipuram ,Tamilnadu ,1804.0
2023.0,Paddy ,July,Kanchipuram ,Tamilnadu ,1900.0
2023.0,Paddy ,August,Kanchipuram ,Tamilnadu ,1900.0
2023.0,Paddy ,September,Kanchipuram ,Tamilnadu ,1918.0
2023.0,Paddy ,October,Kanchipuram ,Tamilnadu ,2020.0
2023.0,Paddy ,November,Kanchipuram ,Tamilnadu ,2110.0
2023.0,Paddy ,December,Kanchipuram ,Tamilnadu ,2138.0
2023.0,Paddy ,January,Pilibhit ,Uttarpradesh ,2040.0
2023.0,Paddy ,February,Pilibhit ,Uttarpradesh ,2040.0
2023.0,Paddy ,March,Pilibhit ,Uttarpradesh ,1916.0
2023.0,Paddy ,April,Pilibhit ,Uttarpradesh ,1856.0
2023.0,Paddy ,May,Pilibhit ,Uttarpradesh ,1921.0
2023.0,Paddy ,June,Pilibhit ,Uttarpradesh ,1936.0
2023.0,Paddy ,July,Pilibhit ,Uttarpradesh ,1896.0
2023.0,Paddy ,August,Pilibhit ,Uttarpradesh ,1884.0
2023.0,Paddy ,September,Pilibhit ,Uttarpradesh ,1991.0
2023.0,Paddy ,October,Pilibhit ,Uttarpradesh ,2096.0
2023.0,Paddy ,November,Pilibhit ,Uttarpradesh ,2184.0
2023.0,Paddy ,December,Pilibhit ,Uttarpradesh ,2183.0
2023.0,Paddy ,January,Ahmadpur,West Bengal ,1965.0
2023.0,Paddy ,February,Ahmadpur,West Bengal ,2020.0
2023.0,Paddy ,March,Ahmadpur,West Bengal ,2060.0
2023.0,Paddy ,April,Ahmadpur,West Bengal ,2060.0
2023.0,Paddy ,May,Ahmadpur,West Bengal ,2060.0
2023.0,Paddy ,June,Ahmadpur,West Bengal ,2060.0
2023.0,Paddy ,July,Ahmadpur,West Bengal ,2083.0
2023.0,Paddy ,August,Ahmadpur,West Bengal ,2165.0
2023.0,Paddy ,September,Ahmadpur,West Bengal ,2170.0
2023.0,Paddy ,October,Ahmadpur,West Bengal ,2148.0
2023.0,Paddy ,November,Ahmadpur,West Bengal ,2140.0
2023.0,Paddy ,December,Ahmadpur,West Bengal ,2140.0
2023.0,Paddy ,January,Bolepur,West Bengal ,1960.0
2023.0,Paddy ,February,Bolepur,West Bengal ,1980.0
2023.0,Paddy ,March,Bolepur,West Bengal ,2000.0
2023.0,Paddy ,April,Bolepur,West Bengal ,2000.0
2023.0,Paddy ,May,Bolepur,West Bengal ,2015.0
2023.0,Paddy ,June,Bolepur,West Bengal ,2060.0
2023.0,Paddy ,July,Bolepur,West Bengal ,2080.0
2023.0,Paddy ,August,Bolepur,West Bengal ,2163.0
2023.0,Paddy ,September,Bolepur,West Bengal ,2170.0
2023.0,Paddy ,October,Bolepur,West Bengal ,2193.0
2023.0,Paddy ,November,Bolepur,West Bengal ,2200.0
2023.0,Paddy ,December,Bolepur,West Bengal ,2200.0
2022.0,Paddy ,January,Amritsar ,Punjab ,3475.0
2022.0,Paddy ,February,Amritsar ,Punjab ,3650.0
2022.0,Paddy ,March,Amritsar ,Punjab ,3750.0
2022.0,Paddy ,April,Amritsar ,Punjab ,3867.0
2022.0,Paddy ,May,Amritsar ,Punjab ,3604.0
2022.0,Paddy ,June,Amritsar ,Punjab ,3604.0
2022.0,Paddy ,July,Amritsar ,Punjab ,3604.0
2022.0,Paddy ,August,Amritsar ,Punjab ,3604.0
2022.0,Paddy ,September,Amritsar ,Punjab ,3342.0
2022.0,Paddy ,October,Amritsar ,Punjab ,3238.0
2022.0,Paddy ,November,Amritsar ,Punjab ,3825.0
2022.0,Paddy ,December,Amritsar ,Punjab ,4330.0
2022.0,Paddy ,January,Kanchipuram ,Tamilnadu ,1705.0
2022.0,Paddy ,February,Kanchipuram ,Tamilnadu ,1666.0
2022.0,Paddy ,March,Kanchipuram ,Tamilnadu ,1616.0
2022.0,Paddy ,April,Kanchipuram ,Tamilnadu ,1560.0
2022.0,Paddy ,May,Kanchipuram ,Tamilnadu ,1500.0
2022.0,Paddy ,June,Kanchipuram ,Tamilnadu ,1500.0
2022.0,Paddy ,July,Kanchipuram ,Tamilnadu ,1512.0
2022.0,Paddy ,August,Kanchipuram ,Tamilnadu ,1573.0
2022.0,Paddy ,September,Kanchipuram ,Tamilnadu ,1640.0
2022.0,Paddy ,October,Kanchipuram ,Tamilnadu ,1740.0
2022.0,Paddy ,November,Kanchipuram ,Tamilnadu ,1760.0
2022.0,Paddy ,December,Kanchipuram ,Tamilnadu ,1896.0
2022.0,Paddy ,January,Pilibhit ,Uttarpradesh ,1940.0
2022.0,Paddy ,February,Pilibhit ,Uttarpradesh ,1940.0
2022.0,Paddy ,March,Pilibhit ,Uttarpradesh ,1859.0
2022.0,Paddy ,April,Pilibhit ,Uttarpradesh ,1695.0
2022.0,Paddy ,May,Pilibhit ,Uttarpradesh ,1556.0
2022.0,Paddy ,June,Pilibhit ,Uttarpradesh ,1474.0
2022.0,Paddy ,July,Pilibhit ,Uttarpradesh ,1490.0
2022.0,Paddy ,August,Pilibhit ,Uttarpradesh ,1556.0
2022.0,Paddy ,September,Pilibhit ,Uttarpradesh ,1708.0
2022.0,Paddy ,October,Pilibhit ,Uttarpradesh ,1918.0
2022.0,Paddy ,November,Pilibhit ,Uttarpradesh ,2040.0
2022.0,Paddy ,December,Pilibhit ,Uttarpradesh ,2040.0
2022.0,Paddy ,January,Ahmadpur,West Bengal ,1888.0
2022.0,Paddy ,February,Ahmadpur,West Bengal ,1942.0
2022.0,Paddy ,March,Ahmadpur,West Bengal ,1960.0
2022.0,Paddy ,April,Ahmadpur,West Bengal ,1960.0
2022.0,Paddy ,May,Ahmadpur,West Bengal ,1960.0
2022.0,Paddy ,June,Ahmadpur,West Bengal ,1960.0
2022.0,Paddy ,July,Ahmadpur,West Bengal ,1960.0
2022.0,Paddy ,August,Ahmadpur,West Bengal ,1960.0
2022.0,Paddy ,September,Ahmadpur,West Bengal ,1960.0
2022.0,Paddy ,October,Ahmadpur,West Bengal ,1960.0
2022.0,Paddy ,November,Ahmadpur,West Bengal ,1960.0
2022.0,Paddy ,December,Ahmadpur,West Bengal ,1960.0
2022.0,Paddy ,January,Bolepur,West Bengal ,1888.0
